split,pdb_id,kinase,state,label,dfg_state,alphac_state,motif_descriptor,ligand_present,resolution,residues,dfg_found,alphac_glu_found,x,y,representation,method
train,5ug8,EGFR,inactive,0,out,out,inactive,1,0.0,280,True,True,-3.7412098470931463,4.385738401352818,ca_coordinates,PCA
train,6xr7,ABL1,inactive,0,out-like,in,dfg_out_alphac_in,0,0.0,287,True,True,1.5972529547059617,-5.579936184812487,ca_coordinates,PCA
train,6xrg,ABL1,inactive,0,out,in,dfg_out_alphac_in,0,0.0,287,True,True,5.00799552774296,4.6970036006497615,ca_coordinates,PCA
train,6xr6,ABL1,active,1,in,in,active,0,0.0,287,True,True,3.138735669107207,-4.516254479896697,ca_coordinates,PCA
train,6uan,BRAF,inactive,0,in,out,dfg_in_alphac_out,0,0.0,284,True,True,5.987228214218643,4.797961749983731,ca_coordinates,PCA
train,6q0k,BRAF,active,1,in,in,active,0,0.0,280,True,True,1.0042398636915948,7.322132649112031,ca_coordinates,PCA
train,6q0t,BRAF,active,1,in,in,active,0,0.0,279,True,True,1.0133578836424644,7.321619394095638,ca_coordinates,PCA
train,6q0j,BRAF,active,1,in,in,active,0,0.0,280,True,True,1.007734878275351,7.324172303289502,ca_coordinates,PCA
train,5ug9,EGFR,inactive,0,out,out,inactive,1,0.0,280,True,True,-3.76804043889869,4.296148223879828,ca_coordinates,PCA
train,6nyb,BRAF,inactive,0,in,out,dfg_in_alphac_out,1,0.0,348,True,True,7.7480879184033835,-1.028898057640728,ca_coordinates,PCA
train,8a27,EGFR,inactive,0,in,out,dfg_in_alphac_out,1,1.07,269,True,True,-3.4390294314783554,5.848542206015231,ca_coordinates,PCA
train,8a2d,EGFR,inactive,0,in,out,dfg_in_alphac_out,1,1.11,281,True,True,-3.134824082018994,6.121326530760003,ca_coordinates,PCA
train,5hg8,EGFR,inactive,0,out,out,inactive,1,1.42,300,True,True,-1.2094371458332283,7.68374501293348,ca_coordinates,PCA
train,8a2a,EGFR,inactive,0,in,out,dfg_in_alphac_out,1,1.43,306,True,True,-2.005117286931746,7.533175622770601,ca_coordinates,PCA
train,4gv1,AKT1,active,1,in,in,active,1,1.49,329,True,True,-2.1359711427358077,-6.044727514088853,ca_coordinates,PCA
train,6tfv,EGFR,inactive,0,in,out,dfg_in_alphac_out,1,1.5,268,True,True,-7.5986577051527435,-7.841925215921864,ca_coordinates,PCA
train,6tg0,EGFR,inactive,0,in,out,dfg_in_alphac_out,1,1.5,267,True,True,-7.781526878653272,-7.315607275948576,ca_coordinates,PCA
train,3poz,EGFR,inactive,0,in,out,dfg_in_alphac_out,1,1.5,293,True,True,3.4962719040379984,4.205645822884797,ca_coordinates,PCA
train,5hg5,EGFR,inactive,0,out,out,inactive,1,1.52,302,True,True,-1.1772045520311014,7.693708969874746,ca_coordinates,PCA
train,5hu9,ABL1,inactive,0,out,in,dfg_out_alphac_in,1,1.53,267,True,True,-2.1441255270223123,6.803019830164621,ca_coordinates,PCA
train,4z55,ALK,active,1,in,in,active,1,1.55,294,True,True,0.823975798521731,7.253860947109536,ca_coordinates,PCA
train,5cno,EGFR,inactive,0,in,out,dfg_in_alphac_out,1,1.55,300,True,True,-3.1139150048493764,5.8271224686648955,ca_coordinates,PCA
train,5ugc,EGFR,inactive,0,out,out,inactive,1,1.58,280,True,True,-4.014294531360901,3.061903262815346,ca_coordinates,PCA
train,6tg1,EGFR,inactive,0,in,out,dfg_in_alphac_out,1,1.6,268,True,True,-7.824704456401451,-7.01794050290161,ca_coordinates,PCA
train,7si1,EGFR,active,1,in,in,active,0,1.6,280,True,True,10.078653118203823,-1.6710020945053006,ca_coordinates,PCA
train,5u8l,EGFR,inactive,0,out,out,inactive,1,1.6,289,True,True,-1.1226569550437013,7.66698744525521,ca_coordinates,PCA
train,5a9u,ALK,active,1,in,in,active,1,1.6,292,True,True,0.4972457052955213,7.3132922601045305,ca_coordinates,PCA
train,5ew8,FGFR1,active,1,in,in,active,1,1.63,290,True,True,-3.1937126896733763,6.004119130591893,ca_coordinates,PCA
train,8arj,ALK,active,1,in,in,active,1,1.645,275,True,True,4.459491058659189,4.937672857956099,ca_coordinates,PCA
train,4wun,FGFR1,active,1,in,in,active,1,1.65,282,True,True,-6.107048793948502,-6.269779197927479,ca_coordinates,PCA
train,8c7x,BRAF,inactive,0,out,out,inactive,1,1.65,274,True,True,-1.430137710828963,7.501933001214261,ca_coordinates,PCA
